time            X               S               e2              Y               L              
1.268537074e+02 5.479020133e+00 5.479020133e+00 1.171889906e-03 4.519807977e+00 4.519807977e+00
1.274549098e+02 5.467307831e+00 5.467307831e+00 1.166884591e-03 4.531525284e+00 4.531525284e+00
1.280561122e+02 5.455645491e+00 5.455645491e+00 1.161911301e-03 4.543192598e+00 4.543192598e+00
1.286573146e+02 5.444032793e+00 5.444032793e+00 1.156969772e-03 4.554810238e+00 4.554810238e+00
1.292585170e+02 5.432469421e+00 5.432469421e+00 1.152059731e-03 4.566378520e+00 4.566378520e+00
1.298597194e+02 5.420955059e+00 5.420955059e+00 1.147180844e-03 4.577897761e+00 4.577897761e+00
1.304609218e+02 5.409489398e+00 5.409489398e+00 1.142332876e-03 4.589368269e+00 4.589368269e+00
1.310621242e+02 5.398072130e+00 5.398072130e+00 1.137515555e-03 4.600790354e+00 4.600790354e+00
1.316633267e+02 5.386702952e+00 5.386702952e+00 1.132728612e-03 4.612164320e+00 4.612164320e+00
1.322645291e+02 5.375381556e+00 5.375381556e+00 1.127971799e-03 4.623490472e+00 4.623490472e+00
1.328657315e+02 5.364107643e+00 5.364107643e+00 1.123244865e-03 4.634769112e+00 4.634769112e+00
1.334669339e+02 5.352880916e+00 5.352880916e+00 1.118547543e-03 4.646000536e+00 4.646000536e+00
1.340681363e+02 5.341701080e+00 5.341701080e+00 1.113879579e-03 4.657185041e+00 4.657185041e+00
1.346693387e+02 5.330567842e+00 5.330567842e+00 1.109240713e-03 4.668322917e+00 4.668322917e+00
1.352705411e+02 5.319480908e+00 5.319480908e+00 1.104630829e-03 4.679414461e+00 4.679414461e+00
1.358717435e+02 5.308439991e+00 5.308439991e+00 1.100049633e-03 4.690459959e+00 4.690459959e+00
1.364729459e+02 5.297444808e+00 5.297444808e+00 1.095496908e-03 4.701459696e+00 4.701459696e+00
1.370741483e+02 5.286495073e+00 5.286495073e+00 1.090972443e-03 4.712413954e+00 4.712413954e+00
1.376753507e+02 5.275590506e+00 5.275590506e+00 1.086475957e-03 4.723323018e+00 4.723323018e+00
1.382765531e+02 5.264730824e+00 5.264730824e+00 1.082007152e-03 4.734187169e+00 4.734187169e+00
1.388777555e+02 5.253915755e+00 5.253915755e+00 1.077565867e-03 4.745006680e+00 4.745006680e+00
1.394789579e+02 5.243145023e+00 5.243145023e+00 1.073151874e-03 4.755781826e+00 4.755781826e+00
1.400801603e+02 5.232418357e+00 5.232418357e+00 1.068764948e-03 4.766512878e+00 4.766512878e+00
1.406813627e+02 5.221735487e+00 5.221735487e+00 1.064404864e-03 4.777200108e+00 4.777200108e+00
1.412825651e+02 5.211096147e+00 5.211096147e+00 1.060071401e-03 4.787843782e+00 4.787843782e+00
1.418837675e+02 5.200500069e+00 5.200500069e+00 1.055764364e-03 4.798444166e+00 4.798444166e+00
1.424849699e+02 5.189946991e+00 5.189946991e+00 1.051483541e-03 4.809001525e+00 4.809001525e+00
1.430861723e+02 5.179436652e+00 5.179436652e+00 1.047228718e-03 4.819516119e+00 4.819516119e+00
1.436873747e+02 5.168968793e+00 5.168968793e+00 1.042999694e-03 4.829988208e+00 4.829988208e+00
1.442885772e+02 5.158543155e+00 5.158543155e+00 1.038796272e-03 4.840418049e+00 4.840418049e+00
1.448897796e+02 5.148159484e+00 5.148159484e+00 1.034618260e-03 4.850805897e+00 4.850805897e+00
1.454909820e+02 5.137817527e+00 5.137817527e+00 1.030465474e-03 4.861152008e+00 4.861152008e+00
1.460921844e+02 5.127517037e+00 5.127517037e+00 1.026337499e-03 4.871456626e+00 4.871456626e+00
1.466933868e+02 5.117257761e+00 5.117257761e+00 1.022234236e-03 4.881720004e+00 4.881720004e+00
1.472945892e+02 5.107039454e+00 5.107039454e+00 1.018155482e-03 4.891942390e+00 4.891942390e+00
1.478957916e+02 5.096861870e+00 5.096861870e+00 1.014101027e-03 4.902124029e+00 4.902124029e+00
1.484969940e+02 5.086724764e+00 5.086724764e+00 1.010070662e-03 4.912265165e+00 4.912265165e+00
1.490981964e+02 5.076627896e+00 5.076627896e+00 1.006064175e-03 4.922366040e+00 4.922366040e+00
1.496993988e+02 5.066571025e+00 5.066571025e+00 1.002081411e-03 4.932426893e+00 4.932426893e+00
1.503006012e+02 5.056553921e+00 5.056553921e+00 9.981224289e-04 4.942447957e+00 4.942447957e+00
1.509018036e+02 5.046576343e+00 5.046576343e+00 9.941869181e-04 4.952429470e+00 4.952429470e+00
1.515030060e+02 5.036638058e+00 5.036638058e+00 9.902747326e-04 4.962371667e+00 4.962371667e+00
1.521042084e+02 5.026738835e+00 5.026738835e+00 9.863857363e-04 4.972274780e+00 4.972274780e+00
1.527054108e+02 5.016878442e+00 5.016878442e+00 9.825198029e-04 4.982139038e+00 4.982139038e+00
1.533066132e+02 5.007056652e+00 5.007056652e+00 9.786768169e-04 4.991964671e+00 4.991964671e+00
1.539078156e+02 4.997273240e+00 4.997273240e+00 9.748563175e-04 5.001751904e+00 5.001751904e+00
